number of parameters in ctrlfnet: 59442525
Ctrl-F-Mini: Loading weights from: model/ctrlfnet_mini_phoc_iiit_hws.pt
[iter   200] eo: 0.01974 | e: 1.29759 | total_loss: 1.31733 | 
[iter   400] eo: 0.01429 | e: 0.92081 | total_loss: 0.93509 | 
Extract Features
mAP_eval -> postprocessing
mAP = 0.31 (any)
mAP = 1.00 (resolu)
mAP = 0.52 (tion)
mAP = 0.11 (on)
mAP = 0.69 (the)
mAP = 0.57 (present)
mAP = 1.00 (establishment)
mAP = 1.00 (resolved)
mAP = 0.58 (that)
mAP = 0.81 (doctor)
mAP = 0.49 (berry)
mAP = 0.18 (be)
mAP = 0.54 (desired)
mAP = 0.38 (to)
mAP = 1.00 (report)
mAP = 0.71 (the)
mAP = 0.50 (state)
mAP = 0.00 (3190)
mAP = 0.16 (fort)
mAP = 0.11 (st)
mAP = 0.00 (george)
mAP = 0.00 (2d)
mAP = 0.23 (december)
mAP = 0.21 (1791)
mAP = 0.50 (state)
mAP = 0.45 (of)
mAP = 0.66 (the)
mAP = 0.34 (nopalry)
mAP = 1.00 (particularizing)
mAP = 0.50 (what)
mAP = 1.00 (charges)
mAP = 0.00 (he)
mAP = 0.33 (may)
mAP = 1.00 (think)
mAP = 0.00 (absolutely)
mAP = 0.50 (necessary)
mAP = 0.51 (those)
mAP = 0.49 (which)
mAP = 0.11 (may)
mAP = 0.38 (be)
mAP = 1.00 (reduced)
mAP = 0.61 (or)
mAP = 0.52 (entirely)
mAP = 1.00 (discontinued)
mAP = 0.04 (from)
mAP = 0.01 (the)
mAP = 0.07 (clerk)
mAP = 0.02 (to)
mAP = 0.30 (the)
mAP = 0.07 (court)
mAP = 0.07 (of)
mAP = 0.51 (requests)
mAP = 0.17 (read)
mAP = 0.24 (letter)
mAP = 0.37 (from)
mAP = 0.69 (the)
mAP = 0.50 (clerk)
mAP = 0.48 (to)
mAP = 0.67 (the)
mAP = 0.42 (court)
mAP = 0.47 (of)
mAP = 0.52 (requests)
mAP = 0.33 (entered)
mAP = 0.33 (mb)
mAP = 0.33 (no)
mAP = 1.00 (1023)
mAP = 1.00 (reporting)
mAP = 0.68 (the)
mAP = 1.00 (election)
mAP = 0.36 (of)
mAP = 0.50 (new)
mAP = 1.00 (commissioners)
mAP = 0.42 (for)
mAP = 0.63 (the)
mAP = 1.00 (ensuing)
mAP = 0.00 (year)
mAP = 0.17 (read)
mAP = 0.50 (petition)
mAP = 0.35 (of)
mAP = 0.50 (permaul)
mAP = 0.51 (kistnama)
mAP = 1.00 (complaining)
mAP = 1.00 (against)
mAP = 1.00 (suthea)
mAP = 1.00 (raune)
mAP = 0.43 (of)
mAP = 0.64 (vizagapatam)
mAP = 0.33 (ordered)
mAP = 0.35 (that)
mAP = 0.02 (it)
mAP = 0.05 (be)
mAP = 0.00 (re)
mAP = 1.00 (ferred)
mAP = 0.49 (to)
mAP = 0.68 (the)
mAP = 1.00 (chief)
mAP = 0.71 (and)
mAP = 0.26 (council)
mAP = 0.41 (at)
mAP = 0.57 (that)
mAP = 0.50 (place)
mAP = 0.63 (with)
mAP = 1.00 (directions)
mAP = 0.46 (to)
mAP = 0.50 (do)
mAP = 1.00 (justice)
mAP = 0.51 (to)
mAP = 0.68 (the)
mAP = 1.00 (parties)
mAP = 1.00 (concerned)
mAP = 0.00 (read)
mAP = 0.01 (the)
mAP = 0.00 (following)
mAP = 0.08 (letter)
mAP = 0.33 (from)
mAP = 0.33 (mr)
mAP = 1.00 (mitford)
mAP = 1.00 (accompanied)
mAP = 0.63 (by)
mAP = 0.24 (a)
mAP = 1.00 (memo)
mAP = 0.00 (rial)
mAP = 1.00 (addressed)
mAP = 0.47 (to)
mAP = 0.71 (the)
mAP = 0.64 (honble)
mAP = 0.71 (the)
mAP = 0.40 (court)
mAP = 0.00 (of)
mAP = 0.50 (directors)
mAP = 0.50 (petition)
mAP = 0.00 (of)
mAP = 0.50 (permaul)
mAP = 0.50 (kistnama)
mAP = 1.00 (referred)
mAP = 0.03 (to)
mAP = 0.52 (vizagapatam)
mAP = 0.00 (to)
mAP = 0.43 (the)
mAP = 0.44 (honble)
mAP = 1.00 (major)
mAP = 0.33 (general)
mAP = 1.00 (willm)
mAP = 1.00 (medows)
mAP = 0.35 (president)
mAP = 0.63 (and)
mAP = 1.00 (governor)
mAP = 0.01 (c)
mAP = 0.01 (in)
mAP = 0.00 (council)
mAP = 0.26 (fort)
mAP = 0.15 (st)
mAP = 0.04 (george)
mAP = 0.08 (honble)
mAP = 0.00 (3379)
mAP = 0.00 (fort)
mAP = 0.01 (st)
mAP = 0.00 (george)
mAP = 0.50 (20th)
mAP = 0.02 (december)
mAP = 0.13 (1791)
mAP = 1.00 (trichinopoly)
mAP = 0.55 (as)
mAP = 1.00 (mentioned)
mAP = 0.09 (in)
mAP = 0.65 (the)
mAP = 0.52 (orders)
mAP = 0.34 (of)
mAP = 0.62 (the)
mAP = 0.00 (19th)
mAP = 0.00 (ultimo)
mAP = 0.11 (from)
mAP = 0.35 (masulipatam)
mAP = 0.37 (read)
mAP = 0.71 (the)
mAP = 1.00 (undermentioned)
mAP = 0.51 (letters)
mAP = 0.18 (entered)
mAP = 0.01 (mb)
mAP = 1.00 (nos)
mAP = 0.00 (1050)
mAP = 1.00 (1051)
mAP = 1.00 (1052)
mAP = 0.00 (from)
mAP = 0.51 (masulipatam)
mAP = 0.81 (with)
mAP = 1.00 (journal)
mAP = 1.00 (parcels)
mAP = 0.32 (for)
mAP = 0.53 (november)
mAP = 0.02 (from)
mAP = 0.00 (mr)
mAP = 1.00 (atkinson)
mAP = 0.32 (from)
mAP = 0.36 (mr)
mAP = 1.00 (atkinson)
mAP = 0.12 (in)
mAP = 0.50 (reply)
mAP = 0.48 (to)
mAP = 0.72 (the)
mAP = 0.50 (boards)
mAP = 0.52 (orders)
mAP = 0.08 (in)
mAP = 0.67 (the)
mAP = 1.00 (subject)
mAP = 0.11 (of)
mAP = 0.71 (the)
mAP = 1.00 (scavengers)
mAP = 1.00 (employ)
mAP = 0.12 (from)
mAP = 0.42 (masulipatam)
mAP = 0.14 (from)
mAP = 0.51 (masulipatam)
mAP = 0.71 (with)
mAP = 0.50 (cash)
mAP = 0.32 (accounts)
mAP = 0.46 (for)
mAP = 0.40 (november)
mAP = 0.72 (and)
mAP = 1.00 (estimate)
mAP = 0.10 (of)
mAP = 0.00 (receipts)
mAP = 0.00 (disburse)
mAP = 1.00 (ments)
mAP = 0.43 (for)
mAP = 0.13 (december)
mAP = 0.09 (probable)
mAP = 0.00 (balance)
mAP = 0.09 (of)
mAP = 0.50 (cash)
mAP = 0.33 (being)
mAP = 1.00 (mpag)
mAP = 1.00 (14583)
mAP = 0.08 (27)
mAP = 0.09 (letter)
mAP = 0.06 (from)
mAP = 0.14 (dr)
mAP = 0.00 (berry)
mAP = 0.00 (in)
mAP = 0.50 (reply)
mAP = 0.50 (relative)
mAP = 0.00 (to)
mAP = 0.24 (the)
mAP = 0.26 (companys)
mAP = 0.20 (nopalry)
mAP = 0.38 (read)
mAP = 0.71 (the)
mAP = 0.47 (following)
mAP = 0.13 (letter)
mAP = 0.30 (from)
mAP = 1.00 (doctor)
mAP = 1.00 (andrew)
mAP = 0.18 (berry)
mAP = 0.02 (to)
mAP = 0.64 (the)
mAP = 0.22 (honble)
mAP = 0.60 (sir)
mAP = 1.00 (charles)
mAP = 1.00 (pakeley)
mAP = 1.00 (bar)
mAP = 0.00 (t)
mAP = 0.49 (president)
mAP = 0.09 (in)
mAP = 0.36 (council)
mAP = 0.00 (c)
mAP = 0.47 (honble)
mAP = 0.54 (sir)
mAP = 0.07 (i)
mAP = 0.49 (have)
mAP = 0.39 (been)
mAP = 0.00 (honored)
mAP = 0.48 (with)
mAP = 0.18 (your)
mAP = 1.00 (secretarys)
mAP = 0.29 (letter)
mAP = 0.42 (of)
mAP = 0.67 (the)
mAP = 1.00 (3d)
mAP = 0.67 (instant)
mAP = 0.68 (and)
mAP = 0.40 (will)
mAP = 0.75 (endeavour)
mAP = 0.00 (3372)
mAP = 0.00 (fort)
mAP = 0.00 (st)
mAP = 0.00 (george)
mAP = 0.00 (20th)
mAP = 0.00 (december)
mAP = 0.13 (1791)
mAP = 0.70 (endeavour)
mAP = 0.02 (to)
mAP = 1.00 (give)
mAP = 0.23 (you)
mAP = 0.22 (every)
mAP = 1.00 (information)
mAP = 0.20 (on)
mAP = 0.52 (the)
mAP = 0.70 (different)
mAP = 1.00 (subjects)
mAP = 0.03 (i)
mAP = 0.52 (can)
mAP = 0.55 (as)
mAP = 0.03 (i)
mAP = 1.00 (consider)
mAP = 0.11 (it)
mAP = 0.65 (my)
mAP = 1.00 (duty)
mAP = 0.57 (as)
mAP = 0.29 (well)
mAP = 0.51 (as)
mAP = 0.28 (your)
mAP = 0.83 (desire)
mAP = 0.15 (you)
mAP = 0.38 (are)
mAP = 1.00 (pleased)
mAP = 0.46 (to)
mAP = 1.00 (say)
mAP = 0.05 (it)
mAP = 0.50 (appearing)
mAP = 0.38 (that)
mAP = 0.20 (a)
mAP = 0.21 (great)
mAP = 0.51 (part)
mAP = 0.48 (of)
mAP = 0.70 (the)
mAP = 0.35 (expence)
mAP = 0.02 (has)
mAP = 0.43 (been)
mAP = 1.00 (applied)
mAP = 0.43 (to)
mAP = 1.00 (purposes)
mAP = 0.46 (which)
mAP = 0.83 (cannot)
mAP = 0.12 (again)
mAP = 0.56 (occur)
mAP = 0.35 (such)
mAP = 0.54 (as)
mAP = 0.83 (enclosing)
mAP = 1.00 (level)
mAP = 1.00 (ling)
mAP = 0.26 (and)
mAP = 1.00 (manuring)
mAP = 0.70 (the)
mAP = 1.00 (ground)
mAP = 1.00 (digging)
mAP = 1.00 (wells)
mAP = 0.00 (c)
mAP = 0.00 (i)
mAP = 1.00 (must)
mAP = 0.50 (observe)
mAP = 0.46 (that)
mAP = 0.52 (as)
mAP = 0.00 (far)
mAP = 0.21 (as)
mAP = 1.00 (regards)
mAP = 1.00 (enclosing)
mAP = 0.70 (and)
mAP = 1.00 (levelling)
mAP = 0.45 (what)
mAP = 0.12 (you)
mAP = 0.59 (have)
mAP = 1.00 (said)
mAP = 0.47 (is)
mAP = 1.00 (generally)
mAP = 1.00 (just)
mAP = 0.17 (except)
mAP = 0.14 (in)
mAP = 0.33 (such)
mAP = 0.28 (a)
mAP = 1.00 (monsoon)
mAP = 0.45 (as)
mAP = 0.67 (the)
mAP = 0.51 (present)
mAP = 0.33 (when)
mAP = 0.61 (the)
mAP = 1.00 (fall)
mAP = 0.44 (of)
mAP = 1.00 (rain)
mAP = 0.11 (has)
mAP = 0.39 (been)
mAP = 0.00 (so)
mAP = 1.00 (uncommonly)
mAP = 0.22 (great)
mAP = 0.42 (as)
mAP = 0.52 (to)
mAP = 1.00 (break)
mAP = 1.00 (down)
mAP = 0.65 (the)
mAP = 0.51 (enclosures)
mAP = 0.20 (and)
mAP = 1.00 (wash)
mAP = 1.00 (away)
mAP = 0.68 (the)
mAP = 1.00 (soil)
mAP = 0.14 (in)
mAP = 1.00 (many)
mAP = 1.00 (places)
mAP = 0.50 (but)
mAP = 0.81 (with)
mAP = 1.00 (respect)
mAP = 0.01 (to)
mAP = 0.58 (manure)
mAP = 0.31 (and)
mAP = 0.83 (digging)
mAP = 0.06 (i)
mAP = 0.50 (am)
mAP = 1.00 (sorry)
mAP = 0.49 (to)
mAP = 0.19 (be)
mAP = 1.00 (obliged)
mAP = 0.54 (to)
mAP = 1.00 (differ)
mAP = 0.71 (the)
mAP = 0.52 (manure)
mAP = 0.07 (in)
mAP = 0.72 (this)
mAP = 1.00 (country)
mAP = 0.46 (is)
mAP = 1.00 (chiefly)
mAP = 1.00 (wood)
mAP = 1.00 (ashes)
mAP = 0.71 (the)
mAP = 0.36 (only)
mAP = 1.00 (useful)
mAP = 0.06 (part)
mAP = 0.37 (of)
mAP = 0.49 (which)
mAP = 0.40 (is)
mAP = 0.72 (the)
mAP = 1.00 (vegetable)
mAP = 1.00 (alkali)
mAP = 0.51 (which)
mAP = 0.51 (being)
mAP = 1.00 (readily)
mAP = 1.00 (dissolved)
mAP = 0.09 (and)
mAP = 0.83 (even)
mAP = 1.00 (attracted)
mAP = 0.40 (by)
mAP = 0.01 (water)
mAP = 0.45 (is)
mAP = 0.50 (entirely)
mAP = 1.00 (washed)
mAP = 0.56 (out)
mAP = 0.45 (of)
mAP = 0.60 (the)
mAP = 0.89 (ground)
mAP = 1.00 (after)
mAP = 1.00 (684)
mAP = 0.05 (fort)
mAP = 0.00 (william)
mAP = 0.50 (30th)
mAP = 0.50 (july)
mAP = 1.00 (1790)
mAP = 1.00 (successively)
mAP = 0.29 (to)
mAP = 0.57 (the)
mAP = 1.00 (second)
mAP = 1.00 (pass)
mAP = 0.50 (called)
mAP = 1.00 (singhori)
mAP = 0.06 (the)
mAP = 0.50 (other)
mAP = 1.00 (way)
mAP = 0.37 (lay)
mAP = 0.50 (over)
mAP = 0.70 (the)
mAP = 0.34 (hills)
mAP = 0.63 (the)
mAP = 1.00 (former)
mAP = 0.33 (he)
mAP = 0.00 (recommended)
mAP = 0.10 (which)
mAP = 0.04 (of)
mAP = 1.00 (course)
mAP = 0.55 (we)
mAP = 1.00 (adopted)
mAP = 0.14 (the)
mAP = 1.00 (third)
mAP = 0.70 (days)
mAP = 0.00 (journey)
mAP = 0.61 (about)
mAP = 1.00 (8)
mAP = 1.00 (koass)
mAP = 0.14 (was)
mAP = 0.50 (over)
mAP = 0.07 (a)
mAP = 0.52 (large)
mAP = 0.00 (mountain)
mAP = 0.25 (when)
mAP = 0.51 (we)
mAP = 1.00 (descended)
mAP = 0.34 (into)
mAP = 0.51 (the)
mAP = 0.35 (only)
mAP = 1.00 (plain)
mAP = 0.12 (on)
mAP = 0.34 (our)
mAP = 1.00 (road)
mAP = 1.00 (between)
mAP = 0.67 (the)
mAP = 0.33 (first)
mAP = 1.00 (gaul)
mAP = 0.70 (and)
mAP = 1.00 (serinagur)
mAP = 0.56 (the)
mAP = 1.00 (widest)
mAP = 0.65 (part)
mAP = 0.49 (of)
mAP = 0.10 (which)
mAP = 0.11 (was)
mAP = 1.00 (near)
mAP = 0.09 (a)
mAP = 1.00 (village)
mAP = 0.50 (called)
mAP = 1.00 (biteate)
mAP = 1.00 (where)
mAP = 0.28 (it)
mAP = 0.34 (might)
mAP = 0.40 (be)
mAP = 0.52 (about)
mAP = 0.14 (a)
mAP = 1.00 (mile)
mAP = 1.00 (across)
mAP = 0.16 (the)
mAP = 1.00 (ram)
mAP = 1.00 (gonga)
mAP = 0.23 (a)
mAP = 1.00 (beautiful)
mAP = 0.51 (river)
mAP = 0.33 (that)
mAP = 1.00 (runs)
mAP = 1.00 (thro)
mAP = 0.57 (this)
mAP = 1.00 (valley)
mAP = 0.36 (our)
mAP = 1.00 (tract)
mAP = 0.47 (this)
mAP = 1.00 (day)
mAP = 0.37 (lay)
mAP = 1.00 (frequently)
mAP = 0.50 (up)
mAP = 1.00 (almost)
mAP = 1.00 (perpendicular)
mAP = 1.00 (rocks)
mAP = 0.34 (or)
mAP = 0.25 (on)
mAP = 0.57 (the)
mAP = 0.71 (the)
mAP = 1.00 (edges)
mAP = 0.39 (of)
mAP = 0.51 (very)
mAP = 1.00 (steep)
mAP = 0.00 (precipice)
mAP = 0.35 (our)
mAP = 1.00 (fourth)
mAP = 0.61 (and)
mAP = 1.00 (fifth)
mAP = 0.53 (days)
mAP = 0.51 (were)
mAP = 1.00 (spent)
mAP = 0.13 (in)
mAP = 0.50 (ascending)
mAP = 0.50 (hills)
mAP = 0.51 (above)
mAP = 0.67 (hills)
mAP = 0.50 (till)
mAP = 0.43 (we)
mAP = 0.00 (reached)
mAP = 0.22 (a)
mAP = 1.00 (mountainous)
mAP = 1.00 (ridge)
mAP = 0.38 (of)
mAP = 0.27 (great)
mAP = 1.00 (height)
mAP = 1.00 (named)
mAP = 0.00 (sallaramunda)
mAP = 0.50 (here)
mAP = 0.25 (we)
mAP = 1.00 (found)
mAP = 0.06 (a)
mAP = 1.00 (sort)
mAP = 0.51 (of)
mAP = 1.00 (stone)
mAP = 1.00 (house)
mAP = 1.00 (close)
mAP = 0.73 (under)
mAP = 0.20 (a)
mAP = 1.00 (rock)
mAP = 1.00 (built)
mAP = 0.66 (by)
mAP = 0.70 (the)
mAP = 1.00 (rajah)
mAP = 0.15 (for)
mAP = 0.00 (1022)
mAP = 0.00 (1023)
mAP = 0.00 (1050)
mAP = 0.01 (1051)
mAP = 0.01 (1052)
mAP = 0.00 (12)
mAP = 0.01 (125)
mAP = 0.01 (125127)
mAP = 0.00 (126)
mAP = 0.00 (14583)
mAP = 0.05 (150)
mAP = 0.01 (1790)
mAP = 0.00 (1791)
mAP = 0.00 (1843)
mAP = 0.00 (19th)
mAP = 0.00 (1st)
mAP = 0.02 (20)
mAP = 0.00 (20th)
mAP = 0.00 (26h)
mAP = 0.00 (27)
mAP = 0.00 (2d)
mAP = 0.00 (30th)
mAP = 0.00 (3185)
mAP = 0.00 (3186)
mAP = 0.00 (3187)
mAP = 0.00 (3189)
mAP = 0.00 (3190)
mAP = 0.00 (32)
mAP = 0.00 (3372)
mAP = 0.00 (3379)
mAP = 0.33 (3d)
mAP = 0.00 (4th)
mAP = 0.00 (531517)
mAP = 0.00 (5th)
mAP = 0.00 (684)
mAP = 0.00 (6th)
mAP = 0.00 (7th)
mAP = 0.00 (8)
mAP = 0.00 (83)
mAP = 0.26 (a)
mAP = 1.00 (ably)
mAP = 0.57 (about)
mAP = 0.27 (above)
mAP = 0.00 (absolutely)
mAP = 0.00 (accom)
mAP = 1.00 (accompanied)
mAP = 0.07 (account)
mAP = 0.20 (accounts)
mAP = 0.01 (across)
mAP = 1.00 (additional)
mAP = 0.01 (addressed)
mAP = 0.06 (adjust)
mAP = 0.25 (adopted)
mAP = 0.01 (adv)
mAP = 0.14 (advantageous)
mAP = 0.14 (after)
mAP = 0.02 (again)
mAP = 1.00 (against)
mAP = 0.00 (agree)
mAP = 0.50 (agreed)
mAP = 0.01 (alkali)
mAP = 0.82 (all)
mAP = 1.00 (allahabad)
mAP = 0.04 (allow)
mAP = 0.08 (allowance)
mAP = 0.25 (almost)
mAP = 0.03 (already)
mAP = 0.10 (also)
mAP = 0.34 (always)
mAP = 0.02 (am)
mAP = 0.69 (and)
mAP = 0.50 (andersons)
mAP = 0.00 (andrew)
mAP = 0.00 (andw)
mAP = 1.00 (antage)
mAP = 0.28 (any)
mAP = 0.03 (appearing)
mAP = 0.51 (appears)
mAP = 0.02 (applied)
mAP = 1.00 (appropriation)
mAP = 0.00 (approved)
mAP = 0.00 (april)
mAP = 0.52 (are)
mAP = 0.83 (arrangements)
mAP = 0.01 (arrival)
mAP = 0.52 (as)
mAP = 0.14 (ascending)
mAP = 0.01 (ashes)
mAP = 0.00 (assist)
mAP = 0.38 (at)
mAP = 0.61 (atkinson)
mAP = 1.00 (attention)
mAP = 0.01 (attracted)
mAP = 0.00 (augt)
mAP = 0.01 (authorized)
mAP = 0.04 (away)
mAP = 0.00 (balance)
mAP = 0.00 (bar)
mAP = 0.25 (barren)
mAP = 0.38 (be)
mAP = 0.02 (beautiful)
mAP = 0.46 (been)
mAP = 0.17 (before)
mAP = 0.01 (begun)
mAP = 0.28 (being)
mAP = 1.00 (bengal)
mAP = 0.52 (berry)
mAP = 0.50 (besides)
mAP = 0.06 (between)
mAP = 0.08 (biteate)
mAP = 0.00 (bo)
mAP = 0.52 (board)
mAP = 0.00 (boards)
mAP = 0.83 (botanical)
mAP = 0.00 (break)
mAP = 0.53 (built)
mAP = 1.00 (bursements)
mAP = 0.50 (but)
mAP = 0.40 (by)
mAP = 0.00 (c)
mAP = 0.04 (calcutta)
mAP = 0.06 (called)
mAP = 0.00 (camp)
mAP = 0.24 (can)
mAP = 0.02 (cannot)
mAP = 0.00 (care)
mAP = 0.01 (carries)
mAP = 1.00 (cases)
mAP = 0.13 (cash)
mAP = 1.00 (certainly)
mAP = 0.50 (charges)
mAP = 0.00 (charles)
mAP = 0.33 (chief)
mAP = 1.00 (chiefly)
mAP = 0.25 (circumstances)
mAP = 0.01 (civil)
mAP = 0.00 (clerk)
mAP = 0.33 (close)
mAP = 0.00 (closed)
mAP = 0.33 (com)
mAP = 1.00 (commander)
mAP = 0.25 (commencement)
mAP = 0.20 (commissioner)
mAP = 1.00 (commissioners)
mAP = 0.32 (companys)
mAP = 0.00 (comparatively)
mAP = 1.00 (complaining)
mAP = 0.10 (concerned)
mAP = 0.11 (confine)
mAP = 0.00 (cons)
mAP = 0.08 (consider)
mAP = 0.50 (considerable)
mAP = 0.33 (considerably)
mAP = 1.00 (considered)
mAP = 1.00 (contingencies)
mAP = 1.00 (cooley)
mAP = 0.12 (copy)
mAP = 0.08 (correspond)
mAP = 0.40 (council)
mAP = 0.50 (country)
mAP = 0.00 (courage)
mAP = 0.02 (course)
mAP = 0.56 (court)
mAP = 0.00 (cul)
mAP = 0.11 (cultivated)
mAP = 0.42 (cultivation)
mAP = 0.00 (current)
mAP = 0.00 (dated)
mAP = 0.04 (dates)
mAP = 0.50 (day)
mAP = 0.28 (days)
mAP = 0.01 (december)
mAP = 1.00 (deficiences)
mAP = 0.01 (demanded)
mAP = 0.00 (department)
mAP = 1.00 (descended)
mAP = 0.00 (descrip)
mAP = 0.03 (design)
mAP = 0.00 (desire)
mAP = 0.49 (desired)
mAP = 1.00 (despatches)
mAP = 0.03 (deviation)
mAP = 1.00 (diameter)
mAP = 1.00 (diately)
mAP = 0.07 (differ)
mAP = 0.35 (different)
mAP = 0.29 (digging)
mAP = 1.00 (direct)
mAP = 1.00 (directed)
mAP = 1.00 (directions)
mAP = 0.50 (directors)
mAP = 0.11 (dis)
mAP = 0.00 (disburse)
mAP = 0.50 (disbursed)
mAP = 0.07 (disbursement)
mAP = 1.00 (discontinued)
mAP = 0.00 (dispatched)
mAP = 0.06 (dissolved)
mAP = 0.01 (do)
mAP = 1.00 (doctor)
mAP = 0.01 (down)
mAP = 0.16 (dr)
mAP = 0.02 (drawn)
mAP = 0.00 (due)
mAP = 0.04 (dukhun)
mAP = 1.00 (duty)
mAP = 0.50 (each)
mAP = 0.33 (edges)
mAP = 1.00 (effect)
mAP = 0.01 (election)
mAP = 0.00 (employ)
mAP = 0.00 (en)
mAP = 1.00 (enable)
mAP = 0.11 (enabled)
mAP = 0.39 (enclosing)
mAP = 0.75 (enclosures)
mAP = 0.50 (encouragement)
mAP = 0.50 (endeavour)
mAP = 0.03 (endeavoured)
mAP = 0.00 (engage)
mAP = 0.00 (english)
mAP = 0.02 (ensuing)
mAP = 0.03 (entered)
mAP = 1.00 (entertaining)
mAP = 0.52 (entirely)
mAP = 0.00 (especially)
mAP = 0.03 (esqr)
mAP = 0.54 (establishment)
mAP = 0.00 (estabts)
mAP = 0.50 (estimate)
mAP = 0.00 (even)
mAP = 0.34 (every)
mAP = 0.00 (examining)
mAP = 0.00 (except)
mAP = 0.37 (expence)
mAP = 0.07 (expences)
mAP = 0.03 (expended)
mAP = 0.11 (expenditure)
mAP = 0.10 (expense)
mAP = 0.50 (expenses)
mAP = 1.00 (experience)
mAP = 0.01 (explanation)
mAP = 0.00 (extended)
mAP = 0.01 (extract)
mAP = 0.50 (extraordinary)
mAP = 0.00 (falconer)
mAP = 1.00 (fall)
mAP = 0.00 (far)
mAP = 0.25 (feet)
mAP = 0.00 (ferred)
mAP = 1.00 (fifth)
mAP = 0.03 (finishing)
mAP = 0.03 (first)
mAP = 0.00 (fixed)
mAP = 0.44 (following)
mAP = 0.40 (for)
mAP = 0.04 (former)
mAP = 1.00 (formerly)
mAP = 1.00 (forming)
mAP = 0.08 (fort)
mAP = 1.00 (found)
mAP = 1.00 (fourth)
mAP = 1.00 (frequently)
mAP = 0.24 (from)
mAP = 0.20 (furnish)
mAP = 0.56 (garden)
mAP = 0.10 (gardens)
mAP = 0.02 (gardiner)
mAP = 0.01 (gardiners)
mAP = 0.06 (garrison)
mAP = 0.01 (gaul)
mAP = 0.21 (general)
mAP = 1.00 (generally)
mAP = 0.12 (george)
mAP = 0.00 (gibson)
mAP = 0.33 (give)
mAP = 0.00 (given)
mAP = 0.00 (gonga)
mAP = 0.03 (government)
mAP = 0.00 (governor)
mAP = 0.02 (govt)
mAP = 0.02 (granted)
mAP = 0.25 (great)
mAP = 0.57 (ground)
mAP = 0.00 (had)
mAP = 0.50 (hands)
mAP = 0.16 (has)
mAP = 0.56 (have)
mAP = 0.00 (he)
mAP = 1.00 (height)
mAP = 0.09 (here)
mAP = 0.39 (hills)
mAP = 0.25 (him)
mAP = 0.00 (himself)
mAP = 0.36 (his)
mAP = 1.00 (hitherto)
mAP = 0.67 (honble)
mAP = 0.00 (honor)
mAP = 0.00 (honored)
mAP = 0.14 (horticultural)
mAP = 1.00 (house)
mAP = 0.00 (however)
mAP = 0.00 (i)
mAP = 0.00 (ihave)
mAP = 1.00 (imagined)
mAP = 0.00 (imme)
mAP = 0.00 (improvements)
mAP = 0.15 (in)
mAP = 0.01 (includ)
mAP = 0.00 (incurred)
mAP = 1.00 (individual)
mAP = 0.00 (induce)
mAP = 0.00 (influences)
mAP = 0.00 (infor)
mAP = 0.33 (inform)
mAP = 1.00 (information)
mAP = 0.00 (ing)
mAP = 0.26 (instant)
mAP = 0.75 (instruct)
mAP = 0.33 (instuctions)
mAP = 0.00 (intendent)
mAP = 0.00 (intervals)
mAP = 0.37 (into)
mAP = 1.00 (introduced)
mAP = 0.45 (is)
mAP = 0.27 (it)
mAP = 0.06 (its)
mAP = 1.00 (journal)
mAP = 0.00 (journey)
mAP = 0.25 (july)
mAP = 0.00 (just)
mAP = 1.00 (justice)
mAP = 0.50 (kind)
mAP = 1.00 (kinds)
mAP = 0.51 (kistnama)
mAP = 1.00 (known)
mAP = 0.00 (koass)
mAP = 0.32 (large)
mAP = 0.67 (last)
mAP = 0.50 (lately)
mAP = 0.35 (lay)
mAP = 0.41 (letter)
mAP = 0.42 (letters)
mAP = 0.25 (level)
mAP = 0.00 (levelled)
mAP = 1.00 (levelling)
mAP = 1.00 (ling)
mAP = 0.05 (lists)
mAP = 0.07 (local)
mAP = 0.00 (longer)
mAP = 0.31 (lowther)
mAP = 0.06 (lowthers)
mAP = 0.01 (major)
mAP = 0.53 (make)
mAP = 0.00 (makes)
mAP = 0.00 (manner)
mAP = 0.14 (manure)
mAP = 1.00 (manuring)
mAP = 0.20 (many)
mAP = 0.01 (market)
mAP = 0.00 (master)
mAP = 0.63 (masulipatam)
mAP = 0.50 (mation)
mAP = 0.17 (may)
mAP = 0.00 (mb)
mAP = 0.73 (me)
mAP = 0.01 (medical)
mAP = 0.00 (medows)
mAP = 0.00 (memo)
mAP = 1.00 (mentioned)
mAP = 0.04 (ments)
mAP = 0.07 (might)
mAP = 0.00 (mile)
mAP = 0.17 (mitford)
mAP = 0.50 (money)
mAP = 0.33 (monsoon)
mAP = 0.36 (month)
mAP = 1.00 (monthly)
mAP = 0.72 (months)
mAP = 0.00 (more)
mAP = 0.31 (most)
mAP = 0.00 (mountain)
mAP = 0.33 (mountainous)
mAP = 0.50 (mounted)
mAP = 0.00 (mpag)
mAP = 0.26 (mr)
mAP = 0.00 (much)
mAP = 1.00 (must)
mAP = 0.37 (muster)
mAP = 0.58 (my)
mAP = 0.00 (n)
mAP = 0.53 (name)
mAP = 1.00 (named)
mAP = 0.50 (near)
mAP = 0.02 (necessary)
mAP = 0.03 (necessity)
mAP = 0.00 (need)
mAP = 0.10 (never)
mAP = 0.01 (new)
mAP = 0.00 (no)
mAP = 0.17 (nopal)
mAP = 0.42 (nopalry)
mAP = 1.00 (nopalryonly)
mAP = 0.00 (nos)
mAP = 0.73 (not)
mAP = 0.01 (november)
